iter	Passed	Remaining
400	43054	10629
401	43124	10512
402	43189	10395
403	43255	10278
404	43322	10162
405	43389	10045
406	43452	9928
407	43519	9813
408	43584	9697
409	43650	9581
410	43716	9466
411	43790	9353
412	43856	9238
413	43924	9124
414	43993	9010
415	44065	8897
416	44141	8786
417	44226	8676
418	44292	8562
419	44363	8450
420	44430	8337
421	44497	8224
422	44568	8112
423	44657	8004
424	44735	7894
425	44818	7785
426	44899	7676
427	44976	7566
428	45050	7455
429	45121	7345
430	45194	7235
431	45270	7125
432	45362	7019
433	45451	6911
434	45540	6804
435	45617	6696
436	45698	6588
437	45782	6480
438	45850	6371
439	45915	6261
440	45978	6151
441	46045	6042
442	46118	5933
443	46182	5824
444	46244	5715
445	46308	5606
446	46374	5498
447	46437	5390
448	46501	5281
449	46568	5174
450	46634	5066
451	46745	4964
452	46883	4864
453	46981	4760
454	47047	4653
455	47113	4546
456	47177	4438
457	47241	4332
458	47303	4225
459	47368	4118
460	47467	4015
461	47535	3909
462	47603	3804
463	47674	3698
464	47740	3593
465	47805	3487
466	47868	3382
467	47931	3277
468	47994	3172
469	48057	3067
470	48122	2962
471	48184	2858
472	48248	2754
473	48312	2650
474	48375	2546
475	48440	2442
476	48504	2338
477	48567	2235
478	48631	2132
479	48694	2028
480	48774	1926
481	48860	1824
482	48949	1722
483	49043	1621
484	49127	1519
485	49216	1417
486	49305	1316
487	49391	1214
488	49479	1113
489	49564	1011
490	49650	910
491	49738	808
492	49826	707
493	49913	606
494	49997	505
495	50087	403
496	50172	302
497	50259	201
498	50348	100
499	50433	0
