iter	Passed	Remaining
400	26378	6512
401	26445	6446
402	26512	6381
403	26590	6318
404	26676	6257
405	26747	6192
406	26827	6130
407	26898	6065
408	26970	6000
409	27033	5934
410	27095	5867
411	27158	5800
412	27221	5734
413	27288	5668
414	27349	5601
415	27412	5535
416	27476	5468
417	27540	5402
418	27602	5336
419	27664	5269
420	27727	5202
421	27791	5136
422	27854	5070
423	27917	5004
424	27977	4937
425	28040	4870
426	28103	4804
427	28165	4738
428	28227	4671
429	28291	4605
430	28354	4539
431	28418	4473
432	28491	4408
433	28556	4342
434	28619	4276
435	28681	4210
436	28745	4144
437	28808	4077
438	28874	4012
439	28937	3945
440	29000	3879
441	29065	3814
442	29128	3747
443	29191	3681
444	29255	3615
445	29318	3549
446	29381	3483
447	29445	3417
448	29509	3351
449	29582	3286
450	29647	3221
451	29723	3156
452	29789	3090
453	29853	3024
454	29917	2958
455	29980	2892
456	30043	2826
457	30118	2761
458	30180	2695
459	30254	2630
460	30319	2565
461	30382	2499
462	30450	2433
463	30513	2367
464	30575	2301
465	30642	2235
466	30704	2169
467	30772	2104
468	30834	2038
469	30898	1972
470	30969	1906
471	31032	1840
472	31095	1775
473	31159	1709
474	31222	1643
475	31287	1577
476	31353	1511
477	31416	1445
478	31479	1380
479	31541	1314
480	31608	1248
481	31676	1182
482	31739	1117
483	31804	1051
484	31870	985
485	31936	919
486	32000	854
487	32066	788
488	32129	722
489	32196	657
490	32259	591
491	32323	525
492	32385	459
493	32451	394
494	32517	328
495	32581	262
496	32644	197
497	32710	131
498	32773	65
499	32837	0
