iter	Accuracy	Logloss
276	0.8384482738	0.3713298429
277	0.8386706625	0.3709495077
278	0.8387455849	0.3707156725
279	0.839003651	0.3703717207
280	0.8392819342	0.3699509139
281	0.8394603209	0.3696355412
282	0.8398075802	0.3693506428
283	0.839971696	0.3691213044
284	0.8403058737	0.3687805487
285	0.8404592862	0.3685813131
286	0.8406614578	0.3681375391
287	0.8408790895	0.3677670894
288	0.8410705579	0.3674374086
289	0.8414201957	0.3669626027
290	0.8416711263	0.366591001
291	0.8418411883	0.3662429612
292	0.8420623878	0.365866268
293	0.8422931012	0.3656241081
294	0.842438189	0.3653687178
295	0.8427259862	0.365004363
296	0.8429138868	0.364777589
297	0.8430506499	0.364409109
298	0.8434680747	0.3640537851
299	0.8435358617	0.3638863246
300	0.8437820353	0.3636221265
301	0.8439901531	0.3633358902
302	0.8441792429	0.3629602004
303	0.844383793	0.3626007885
304	0.8444301735	0.3623200153
305	0.8445907215	0.3620088792
306	0.8447465125	0.3618436114
307	0.8448868434	0.3615738015
308	0.8451948577	0.3612292551
309	0.8453934615	0.3608752319
310	0.8455742267	0.3607240492
311	0.8456765017	0.3604462491
312	0.8458679701	0.3602177655
313	0.8460225719	0.3598885306
314	0.8460891696	0.3597863299
315	0.8463365324	0.3593928387
316	0.8465696243	0.3592013331
317	0.8468598	0.358899934
318	0.84706435	0.3586178972
319	0.8471416509	0.3582889225
320	0.8473105236	0.3580157679
321	0.8475662112	0.3577730877
322	0.8477493548	0.3573423954
323	0.8480847218	0.3569552591
324	0.8482738116	0.3567391511
325	0.8485259315	0.3564684122
326	0.8488125394	0.3561543773
327	0.8489148144	0.355915525
328	0.8489195714	0.3558171893
329	0.8493286715	0.3553985753
330	0.8493643488	0.355315514
331	0.8494226218	0.3551315156
332	0.8496461998	0.3548693987
333	0.8498257757	0.3545588572
334	0.8499114013	0.3542544849
335	0.8501159513	0.3540584826
336	0.8502812563	0.353825242
337	0.8505678642	0.353454718
338	0.8506594361	0.3532877407
339	0.8508211733	0.3530971271
340	0.8509710181	0.3528820225
341	0.8512219487	0.3525699201
342	0.8513408731	0.3523790092
343	0.8514609868	0.3521055202
344	0.8516798078	0.3518542551
345	0.851851059	0.3515372843
346	0.8519854436	0.3513323998
347	0.8522494559	0.3510337136
348	0.8523755158	0.3508604555
349	0.8526407174	0.3505247541
350	0.8527406139	0.3503435802
351	0.8529737058	0.3500050915
